section,subsection,item_number,name,traditional_name,description,price
Signature Welcome Elixirs,,1,Royal Aloo Bukhara Elixir,Aloo Bukhara / Plum,,
Signature Welcome Elixirs,,2,Pomegranate Jewel Press,Anar Juice,,
Signature Welcome Elixirs,,3,Pomegranate Orchard Fusion,Anar Mix Fruits,,
Signature Welcome Elixirs,,4,Kashmiri Apple Nectar,Apple Juice,,
Signature Welcome Elixirs,,5,Wild Blackberry Bliss,Blackberry Juice,,
Signature Welcome Elixirs,,6,Midnight Grape Essence,Black Grapes Juice,,
Signature Welcome Elixirs,,7,Desi Falsa Refresher,Falsa Juice,,
Signature Welcome Elixirs,,8,Emerald Grape Cooler,Green Grapes Juice,,
Signature Welcome Elixirs,,9,Pink Guava Delight,Guava Juice,,
Signature Welcome Elixirs,,10,Kiwi Tropical Fusion,Kiwi Mix Juice,,
Signature Welcome Elixirs,,11,Lychee Velvet Splash,Litchi Juice,,
Signature Welcome Elixirs,,12,Alphonso Mango Indulgence,Mango Juice,,
Signature Welcome Elixirs,,13,Minted Watermelon Breeze,Minty Watermelon,,
Signature Welcome Elixirs,,14,Seasonal Fruit Symphony,Mix Fruit Juice,,
Signature Welcome Elixirs,,15,Sun-Kissed Orange Zest,Orange Juice,,
Signature Welcome Elixirs,,16,Golden Pineapple Splash,Pineapple Juice,,
Signature Welcome Elixirs,,17,Spiced Tomato Refresher,Tomato Juice,,
Signature Welcome Elixirs,,18,Tomato Juice → Spiced Tomato Refresher,,,
Artisan Shake & Lassi Bar,,1,Afghan Pista Royale,Afghan Pista Shake,,
Artisan Shake & Lassi Bar,,2,Badam Bliss Shake,Badam Shake,,
Artisan Shake & Lassi Bar,,3,Belgian Chocolate Indulgence,Belgian Chocolate Shake,,
Artisan Shake & Lassi Bar,,4,Black Currant Velvet,Black Currant Shake,,
Artisan Shake & Lassi Bar,,5,Chiku Cream Delight,Chiku Shake,,
Artisan Shake & Lassi Bar,,6,Classic Cold Coffee Frappe,Cold Coffee,,
Artisan Shake & Lassi Bar,,7,Cold Coffee Ice Cream Supreme,Cold Coffee with Ice Cream,,
Artisan Shake & Lassi Bar,,8,Cookie Crunch Delight,Cookie Crunch Shake,,
Artisan Shake & Lassi Bar,,9,Sitaphal Cream Shake,Custard Apple Shake,,
Artisan Shake & Lassi Bar,,10,Dry Fruit Basundi Supreme,Dry Fruit Basundi,,
Artisan Shake & Lassi Bar,,11,Strawberry Fresh Cream Shake,Fresh Strawberry Shake,,
Artisan Shake & Lassi Bar,,12,Kaju Anjeer Royal Blend,Kaju Anjeer Shake,,
Artisan Shake & Lassi Bar,,13,Kaju Draksh Delight,Kaju Draksh Shake,,
Artisan Shake & Lassi Bar,,14,Kesar Badam Royale,Kesar Badam Shake,,
Artisan Shake & Lassi Bar,,15,Kesar Pista Lassi Supreme,Kesar Pista Lassi,,
Artisan Shake & Lassi Bar,,16,Kesar Pista Royal Shake,Kesar Pista Shake,,
Artisan Shake & Lassi Bar,,17,Kesari Thandai Elixir,Kesari Thandai,,
Artisan Shake & Lassi Bar,,18,Khajoor Nutri Shake,Khajoor Shake,,
Artisan Shake & Lassi Bar,,19,Mango Lassi Classic,Mango Lassi,,
Artisan Shake & Lassi Bar,,20,Mango Cream Shake,Mango Shake,,
Artisan Shake & Lassi Bar,,21,Namkeen Lassi Refresher,Namkeen Lassi,,
Artisan Shake & Lassi Bar,,22,Papaya Health Shake,Papaya Shake,,
Artisan Shake & Lassi Bar,,23,Shahi Gulab Delight,Shahi Gulab Shake,,
Artisan Shake & Lassi Bar,,24,Strawberry Lassi Bliss,Strawberry Lassi,,
Artisan Shake & Lassi Bar,,25,Sweet Lassi Classic,Sweet Lassi,,
Artisan Shake & Lassi Bar,,26,Jeera Buttermilk Cooler,Zeera Buttermilk / Chaach,,
Crafted Mocktail Infusions,,1,Classic Aerated Refreshers,Assorted Aerated Drinks,,
Crafted Mocktail Infusions,,2,Blue Lagoon Splash,Blue Lagoon,,
Crafted Mocktail Infusions,,3,Rose Sattu Cooler,Cold Rose Sattu,,
Crafted Mocktail Infusions,,4,Fresh Lime Sparkler,Fresh Lime Soda,,
Crafted Mocktail Infusions,,5,Tropical Fruit Punch,Fruits Punch,,
Crafted Mocktail Infusions,,6,Green Island Refresher,Green Island,,
Crafted Mocktail Infusions,,7,Emerald River Cooler,Green River,,
Crafted Mocktail Infusions,,8,Hawaiian Beach Delight,Hawaiian Beach Cooler,,
Crafted Mocktail Infusions,,9,Ice on Fire Fusion,Ice On Fire,,
Crafted Mocktail Infusions,,10,Kala Khatta Chill,Kala Khatta Slash,,
Crafted Mocktail Infusions,,11,Kiwi Blossom Cooler,Kiwi Blossom,,
Crafted Mocktail Infusions,,12,Kiwi Mint Mojito,Kiwi Mojito,,
Crafted Mocktail Infusions,,13,Lavender Mint Mojito,Lavender Mojito,,
Crafted Mocktail Infusions,,14,Classic Lemon Iced Tea,Lemon Ice Tea,,
Crafted Mocktail Infusions,,15,Lychee Cordial Refresher,Lychee Cordial,,
Crafted Mocktail Infusions,,16,Lychee Lime Float,Lychee Lime Float,,
Crafted Mocktail Infusions,,17,Masala Soda Twist,Masala Soda Pop,,
Crafted Mocktail Infusions,,18,Midnight Beauty Cooler,Mid Night Beauty,,
Crafted Mocktail Infusions,,19,Mint Iced Tea Refresher,Mint Ice Tea,,
Crafted Mocktail Infusions,,20,Tender Coconut Hydrator,Nariyal Daba Water,,
Crafted Mocktail Infusions,,21,Orange Blossom Spritz,Orange Blossom,,
Crafted Mocktail Infusions,,22,Orange Citrus Splash,Orange Slash,,
Crafted Mocktail Infusions,,23,Peach Pina Colada Delight,Peach Pina Colada,,
Crafted Mocktail Infusions,,24,Classic Pina Colada,Pina Colada,,
Crafted Mocktail Infusions,,25,Pink Panther Punch,Pink Panther,,
Crafted Mocktail Infusions,,26,Shirley Temple Classic,Shirley Temple,,
Crafted Mocktail Infusions,,27,Strawberry Daiquiri Cooler,Strawberry Daiquiri,,
Crafted Mocktail Infusions,,28,Tender Berry Refresher,Tender Berry,,
Crafted Mocktail Infusions,,29,Tricolor Celebration Drink,Tricolor,,
Crafted Mocktail Infusions,,30,Virgin Mint Mojito,Virgin Mojito,,
Crafted Mocktail Infusions,,31,Watermelon Mint Mojito,Watermelon Mojito,,
Signature Warm Infusions,,1,Classic Brewed Coffee,Coffee,,
Signature Warm Infusions,,2,Caffè Americano Classic,Caffè Americano,,
Signature Warm Infusions,,3,Caffè Latte Supreme,Caffè Latte,,
Signature Warm Infusions,,4,Cappuccino Velvet,Cappuccino,,
Signature Warm Infusions,,5,Café Hut Signature Blend,Coffee Café Hut,,
Signature Warm Infusions,,6,Espresso Intense Shot,Espresso Coffee,,
Signature Warm Infusions,,7,Espresso Macchiato Classic,Espresso Macchiato,,
Signature Warm Infusions,,8,Kesar Dry Fruit Kadai Milk Royale,Kesar Dry Fruit Kadai Milk,,
Signature Warm Infusions,,9,Khajoor Infused Kadai Milk,Khajoor Kadai Milk,,
Signature Warm Infusions,,10,Munacca Rich Kadai Milk,Munacca Kadai Milk,,
Signature Warm Infusions,,11,Chilled Coffee Creations,Variety of Cold Coffee,,
Signature Warm Infusions,,12,Signature Hot Coffee Selection,Variety of Hot Coffee,,
Refined Tea Rituals,,1,Handi Brewed Heritage Tea,Handi Tea,,
Refined Tea Rituals,,2,Marwadi Handi Tea Special,Handi Tea without Bicycle – from Marwad,,
Refined Tea Rituals,,3,Tandoori Smoked Chai,Tandoori Chai,,
Refined Tea Rituals,,4,Kashmiri Kahwa Elixir,Kashmiri Kahwa,,
The Soup Atelier,,1,Almond Garden Velouté,Almond Vegetable Soup,,
The Soup Atelier,,2,Sweet Corn Royale,American Sweet Corn Soup,,
The Soup Atelier,,3,Asian Greens Infusion,Asian Mixed Green Soup,,
The Soup Atelier,,4,Asparagus Corn Essence,Asparagus Corn Soup,,
The Soup Atelier,,5,Broccoli Spinach Velouté,Broccoli Spinach Soup,,
The Soup Atelier,,6,Burmese Khao Suey Bowl,Burmese Khao Suey,,
The Soup Atelier,,7,Carrot Orange Elixir,Carrot Orange Soup,,
The Soup Atelier,,8,Spinach Cream Delight,Cream of Spinach,,
The Soup Atelier,,9,Tomato Velvet Cream,Cream of Tomato,,
The Soup Atelier,,10,Pudina Dal Shorba,Dal Pudina Ka Shorba,,
The Soup Atelier,,11,Green Pea Silk Soup,Green Pea Soup,,
The Soup Atelier,,12,Hot & Sour Oriental Broth,Hot N Sour Soup,,
The Soup Atelier,,13,Lauki Shorba Essence,Loki Ka Soup,,
The Soup Atelier,,14,Minestrone Italiano,Minestrone Soup,,
The Soup Atelier,,15,South Indian Rasam Classic,South Indian Rasam,,
The Soup Atelier,,16,Tamatar Dhaniya Shorba,Tamatar Dhaniya Shorba,,
The Soup Atelier,,17,Thai Clear Herbal Broth,Thai Clear Soup – Tom Yum Phak,,
The Soup Atelier,,18,Tom Yum Exotic Broth,Tom Yum Soup,,
The Soup Atelier,,19,Tomato Basil Infusion,Tomato Basil Soup,,
The Soup Atelier,,20,Tomato Coriander Shorba,Tomato Coriander,,
The Soup Atelier,,21,Tomato Rasam Fusion,Tomato Rasam,,
Appetizers – Pan-Asian Curated Selection,,1,Ancient Chilli Paneer Bites,Ancient Chilli Paneer,,
Appetizers – Pan-Asian Curated Selection,,2,Burnt Chilli Cottage Cheese Cubes,Burnt Chilli Cottage Cheese,,
Appetizers – Pan-Asian Curated Selection,,3,Crispy Chilli Baby Corn,Chilli Baby Corn,,
Appetizers – Pan-Asian Curated Selection,,4,Chilli Tofu Dumpling Fusion,Chilli Tofu & Green Dumplings,,
Appetizers – Pan-Asian Curated Selection,,5,Oriental Cigar Rolls,Chinese Cigar Rolls,,
Appetizers – Pan-Asian Curated Selection,,6,Crispy Spaghetti Rolls,Chinese Spaghetti Roll,,
Appetizers – Pan-Asian Curated Selection,,7,Golden Spring Rolls,Chinese Spring Roll,,
Appetizers – Pan-Asian Curated Selection,,8,Crispy Corn Spinach Dumplings,Crispy Corn & Spinach Dumplings,,
Appetizers – Pan-Asian Curated Selection,,9,Classic Dry Manchurian,Dry Manchurian,,
Appetizers – Pan-Asian Curated Selection,,10,Golden Fried Baby Corn,Golden Fried Baby Corn,,
Appetizers – Pan-Asian Curated Selection,,11,Honey Chilli Cauliflower Bites,Honey Chilli Cauliflower,,
Appetizers – Pan-Asian Curated Selection,,12,Japanese Tempura Crisp,Japanese Tempura,,
Appetizers – Pan-Asian Curated Selection,,13,Salt & Pepper Mushroom Toss,Mushroom Salt & Pepper,,
Appetizers – Pan-Asian Curated Selection,,14,Sesame Chilli Potato Bites,Sesame Chilli Potato,,
Appetizers – Pan-Asian Curated Selection,,15,Thai Corn Fritter Bites,Thai Corn Fritters,,
Appetizers – Pan-Asian Curated Selection,,16,Thai Spiced Tofu Cubes,Thai Spiced Tofu,,
Appetizers – Pan-Asian Curated Selection,,17,Sweet Chilli Potato Toss,Thai Sweet Chilli Potato,,
Appetizers – Pan-Asian Curated Selection,,18,Veg Salt & Pepper Toss,Veg Salt & Pepper,,
Appetizers – Pan-Asian Curated Selection,,19,Steamed Vegetable Dim Sum,Vegetable Dim Sum,,
Appetizers – Pan-Asian Curated Selection,,20,Vietnamese Rice Roll Wraps,Vietnamese Rice Rolls,,
Appetizers – Pan-Asian Curated Selection,,21,Bok Choy Chestnut Dumplings,Water Chestnuts & Bok Choy Dumplings,,
